#,Name,Domain,City,Categories,Products,Sample Products,Tagline,Added
1,Atlas Premium Appliance,negotiate.pier39.ai,"Atlanta, GA",appliances | home | dyson | vacuum | hair-care | air-quality,4,Dyson V15 Detect Absolute | Dyson Airwrap Complete Long | Dyson Pure Hot+Cool HP07 | Dyson Supersonic Special Edition,"Premium home tech, outlet pricing.",2026-05-03
2,Skout Organic,skout-organic-negotiate.fly.dev,"Austin, TX",food | snacks | energy-bars | kids-snacks | organic,29,Apple Pie Kids Bar | Blueberry Blast Kids Bar | Peanut Butter Protein Bar | Soft Baked Cookies,"Organic energy bars, kids bars, and protein bars. AI shoppers welcome.",2026-05-06
3,Bombas,pier39.fly.dev/bombas,"Brooklyn, NY",socks | apparel | basics | athletic-socks | dress-socks,100,Performance Running Sock | Cushioned Crew Sock | Half-Calf Sock | Vintage Stripes Quarter Sock,"Comfort socks, underwear, and basics. Buy One, Give One — every item donates one to those experiencing homelessness.",2026-05-06
4,Allbirds,pier39.fly.dev/allbirds,"San Francisco, CA",shoes | sneakers | footwear | sustainable-fashion | apparel,1052,Wool Runner | Tree Runner | Mizzle Pacer | Wool Lounger,"Naturally derived materials. The world's most comfortable shoes — made from wool, eucalyptus, and sugar cane.",2026-05-06
5,Knix,pier39.fly.dev/knix,"Toronto, Canada",underwear | bras | intimates | leakproof | womens-basics | apparel,523,Leakproof Boyshort | Catalyst Sports Bra | High-Waist Leakproof Brief | Modal Tank,"Leakproof underwear and bras for every body. Engineered for periods, leaks, and life.",2026-05-06
6,ThirdLove,pier39.fly.dev/thirdlove,"San Francisco, CA",bras | underwear | intimates | womens | apparel,373,24/7 Classic T-Shirt Bra | Form 360 Lace Bra | Cotton Hipster | Smoothing Bralette,Bras and intimates in over 80 sizes — including half sizes the rest of the industry skips.,2026-05-06
7,UNTUCKit,pier39.fly.dev/untuckit,"New York, NY",mens-shirts | dress-shirts | mens-fashion | casual-wear | apparel,556,Wrinkle-Free Mason Shirt | Performance Polo | Slim-Fit Chinos | UNTUCKit Stretch Shirt,"Shirts designed to be worn untucked. Just-right length, no math required.",2026-05-06
8,Aviator Nation,pier39.fly.dev/aviator-nation,"Venice, CA",sweatshirts | hoodies | vintage | lifestyle | fleece | apparel,2500,Bolt Stripe Sweatshirt | Bolt Stripe Sweatpants | Vintage Sport Tee | 5 Stripe Hoodie,"Vintage-inspired California beach lifestyle. Premium fleece, hand-distressed in Venice.",2026-05-06
9,Cotopaxi,pier39.fly.dev/cotopaxi,"Salt Lake City, UT",outdoor | backpacks | jackets | travel-gear | sustainable | adventure | apparel,1266,Allpa 35L Travel Pack | Fuego Down Jacket | Bataan Fanny Pack | Teca Fleece Jacket,"Outdoor gear that does good. Vibrant colors, durable construction, and 1% of revenue fights poverty.",2026-05-06
10,Daniel Wellington,pier39.fly.dev/daniel-wellington,"Stockholm, Sweden",watches | accessories | minimalist | scandinavian-design | fashion,1412,Classic Petite Melrose | Iconic Link | Iconic Motion | Quadro,"Minimalist Scandinavian watches with interchangeable straps. Timeless design, accessible price.",2026-05-06
11,Magic Spoon,pier39.fly.dev/magic-spoon,"New York, NY",cereal | breakfast | snacks | high-protein | keto | low-carb | food,222,Cocoa Cereal | Fruity Cereal | Frosted Cereal | Peanut Butter Cereal,"High-protein, low-carb, zero-sugar cereal. Tastes like Saturday morning, fits like Tuesday lunch.",2026-05-06
12,Olipop,pier39.fly.dev/olipop,"Oakland, CA",soda | beverage | prebiotic | gut-health | wellness | food,58,Vintage Cola | Strawberry Vanilla | Cherry Vanilla | Classic Root Beer,Prebiotic soda with the flavors you remember and gut-health benefits you didn't know you wanted.,2026-05-06
13,Liquid Death,pier39.fly.dev/liquid-death,"Los Angeles, CA",water | sparkling-water | tea | beverage | canned-water | food,206,Mountain Water 16.9oz Tallboy | Severed Lime Sparkling | Berry It Alive Tea | Convicted Melon Sparkling,"Murder your thirst. Mountain water and sparkling teas in tallboy cans. 100% recycled aluminum, eternal profanity.",2026-05-06
